Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,372746486.166796,427360070.324544,546830040.540273,622679660.37137,655375095.906176,688498641.512529,795673152.867077,915659107.965823,905341172.70583,907979446.419588,1023087475.68355,1015842906.66403,1116223107.03168,1149587562.06748,966029600.862227,1012835493.19325,1077439756.59451,1188797449.38584,1195019531.9011,1225039196.61091,1299039312.22277,1279542248.96288,1465977684.31307,1610082688.26617,1814920856.27026
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2796704604.03812,3034250923.97726,3503723087.74483,4656974940.12721,6650001680.48544,8072305029.06514,8782703436.70188,11649857673.4436,9723299915.25312,13148396211.5955,15655383576.6515,17692911296.3044,17958720699.0868,17919321078.0284,12434793867.3568,10931328150.8478,11834473039.3645,14773900288.5135,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,15321055822.5167,15719986076.6464,16306633778.765
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,12609728573.1032,15484044534.5783,18374807772.5429,22723488723.3641,18607259480.5447,24161641931.0331,26392379641.765,30029369928.7318,34891189160.3002,38352980552.8665,40179574490.3032,38600224214.4728,37537521565.5308,46659954092.4862,46845900350.0332,46691989748.9186,59067289573.5102,70422346142.2023,69843655425.2929,75716176105.0704,91030531316.9936
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,2044440443.16654,2220637966.25047,2424391785.43897,2604955228.70117,2762581334.22612,2913464658.08768,3088851450.30694,3144136196.6228,3392796953.08939,3562814908.76149,3898447007.38798,4152145939.98458,4624533092.31886
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89660339660.3397,107426086956.522,130437828371.278,162818181818.182,189147005444.646,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,395926071447.591,389059910593.1,365254630179.737
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,752371688.743186,729321680.154324,870248267.550163,1109054005.43971,1098424685.66169,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,1589515447.15447,2065001626.01626,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1502870485.88122,1393945030.65105,2149632433.27703,2710331785.24986,3097946371.06311,3215307900.74767,3391122887.17476,3235921170.5095,3525213502.43118,4360714358.88708,4722912047.32265,4747813067.26006,4463396204.01995,4285065665.03168,3908217914.21824,3722306116.72872,4462640651.49219,4643751059.28203,4617018958.69086,4134677809.50096,4807069277.20114,4746660273.50829,4621191261.84214,4858885840.77236,5160679612.81734
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648276605.0123,55612228233.5179,62103418181.8182,68475871209.607,76366081766.6667,83337901071.9697,91834517113.6386,98676811061.9985,109070960370.972,123140304665.399,135874093203.18,149740297952.375,126358758448.356
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16314443436.2903,21357343668.9447,22388344143.9131,21948834283.7856,21765453081.9826,13185496881.0174,11240808847.8878,12200913878.9827,13097012133.6159,11364133549.7478,9893816007.7398,12215878032.7166,13687643435.6249,12541814272.8021,13254388261.1258,12823210425.9217
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,5023265413.2623,5335451099.88223,6511903365.47554,7770219008.21293,9582783990.85345,10327598306.4575,12455409587.3371,15571348344.3379,12113699068.2517,14372593020.2885,18210307743.5816,17170464016.0593,17595744798.3398,18203966895.8433,14383107762.6952,14023890265.3665,14929487485.1623,16867326401.9626,16874405465.391,15342236163.9943,19444935097.2333,20440655695.229,19388372070.9778,20895684425.6752,21427119323.2764
