"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.166744594301641","0.338650084509837","0.747868298965232","2.60096618797693","1.37993375239196","3.14365405881304","3.3227850272904","2.45429220149158","2.56603749292096","3.36122291987967","4.28397915581673","4.63095461337978","2.78605690992253","2.318675931349","2.00998092417687","2.98571947210797","4.70579306393001","9.97484568864901","8.91340624897953","10.6514937653137","17.3327290457956","11.8399743116241","14.0746927335891","13.5291485659272","12.0135474784452","13.1707815863422","15.0095189990006","15.5756935756197","14.1245327765294","10.4634511975494","11.7720656715607","7.25842090187858","",
"American Samoa","ASM","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0293108666666667","0.41986579796242","0.310800821209025","1.96979305735322","0.534700302981201","1.43767838897479","2.66650589459658","2.52721066588383","2.70729619974944","3.16160450628071","2.9100740077612","2.06546971654592","1.52643228772288","0.956933269265572","0.756177274683196","0.889217504719364","0.835311316790157","1.8205028324175","1.96846143353379","2.75252567212532","2.56395619657735","3.71418393756825","4.88991285462299","5.62862013363733","5.95975870329787","4.41639828375126","4.3298963868556","3.95724186593403","2.18311769095557","3.16500308006375","5.81641530697615","",
"Burundi","BDI","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","0.350760189534325","1.79569722943703","3.40200892922163","0.337989019421195","0.857234587353435","0.524537268761606","0.635672144283661","0.56461954255504","1.73954809964397","0.551086201613286","0.935356887149965","0.818644246560219","0.811386666298343","1.3481961735312","2.43591773653158","2.31692634157116","2.96567156832785","4.23999127622108","4.3722317965844","3.90281209507389","3.79505487758829","3.39639456826271","3.70414877251914","3.88498129912966","4.47985662583676","3.90990694368674","3.61933968498787","3.06361459149184","3.44724015032767","3.74747454350212","2.55868846413209","2.71595947764216","2.91562712536028","3.86004460485234","9.95090738529661","3.63953371093758","1.57939605110279","1.34777677647789","1.22115777651089","1.12974157838564","0.216438850297293","0.429984407212901","0.893023845405583","1.3141701342613","0.980666622720326","0.958114422922663","1.27654441215923","0.96496851464315","0.999600226714114","1.32088410549369","1.15792873496381","0.876148043270042","0.83441621363148","1.31637868361843","1.18204950046981","",
"Belgium","BEL","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","0.527508252565931","1.10908631638688","0.730215935111204","0.458788911376472","1.11942618479187","0.90135174399735","0.61575899577185","0.518400565362639","0.558040412762745","0.549403660139709","1.43938891330955","1.75576117358777","1.98611166755194","3.04571827170483","4.63834175609298","4.79795911563811","4.72464454715558","2.65997038361182","1.77391668609857","1.76916787847459","1.93119932820416","1.54716052982098","1.68419893091196","1.41404273596358","2.53629864804566","2.26208794077021","1.89612055283627","2.25564428951884","2.45790814574413","2.13197014955697","2.23471394799084","1.49461770743727","1.54535618848578","1.09187894736996","1.18462990922011","0.916247440069114","0.885177587592493","0.707595091169169","0.521738026815126","0.577156732013205","0.516834149751289","3.08017034372965","0.710564680260989","0.782715583120344","0.762390923620265","1.86643773596427","1.16386698318663","1.00006878959903","2.18659309197799","1.787863032307","1.68212770421635","4.41390491733627","2.98698917205464","4.50926809552303","5.37802012838803","",
"Burkina Faso","BFA","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","0.462097747414286","0.435143293160535","0.566299889906054","0.564629666798296","0.503390814373035","0.564274477419648","0.484056534952491","0.493317217312392","0.490229440194072","0.529219221360433","1.15150671114367","1.11190443854717","1.13366120645014","1.13503318848386","1.48653778739128","1.90452709869687","1.81121914016411","1.53009022332832","1.64096492909152","1.48064734230019","1.10862532352701","1.48404986760108","0.999496987858074","1.19368297070242","2.31706993053314","2.04452160649544","1.87148079428584","2.10316869826698","1.93275852289005","1.91413227956183","1.60159490946689","1.20726224650492","1.23887110536646","1.00642264118007","0.976674549284517","0.762300789015318","0.696510828195776","1.52406767416152","2.16200611121735","3.33692497564064","4.51482721144374","5.2963088830848","6.53762607310197","7.85249755763381","9.40190387673924","14.2427157435851","10.0786427443046","11.6591182991531","19.4957172264465","15.1160749490396","12.6893060347909","2.68742290853092","6.17418133675348","3.82128834288618","4.06061698349393","",
"Bangladesh","BGD","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","0.125965583245596","0.220385871983276","0.553155109823522","1.37358952927096","1.47993523088157","1.04151032887796","1.27987963612044","1.31484011105433","0.958433613390875","1.16579414278747","1.17923371477699","1.47150681954174","1.44230550873541","1.95573901871439","2.05706727325442","1.8306056912524","1.74116807513179","2.255405490962","1.88486493790024","1.62741921415167","1.51615440268407","1.53432102020582","1.92238546362028","1.37442630027965","1.35963873559988","1.20681415356829","1.30806030524389","1.40344475076703","1.19826888797491","1.24188572664116","1.05322602424316","0.961765885325941","1.11929413836649","0.939983509690425","1.19009751520455","0.953213875989854","0.933227235699679","0.887768337168174","1.10120533759933","1.15911362651345","1.19770565572143","1.10239877819055","0.844871384065753","0.66919272801744","0.749634350080731","0.905165357729859","1.62297227133607","1.03914457484536","1.29582451550224","1.42133581979152","1.64311682080107","1.83104443759392","",
"Bulgaria","BGR","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","0.342806203102007","0.807217205348198","1.77973916174157","2.63563494697987","6.73350585022716","7.71844058770377","7.0772830644211","10.3608804835062","12.2186150939382","7.20286490653213","4.01944136929424","5.3277258115493","3.08466161189731","7.22804643086712","6.14311327480116","10.6987851525927","9.25012198611501","9.34959818977679","9.32739135597841","9.91719106454097","9.79780046830197","8.42863048269482","5.26607510256169","9.30048251142869","14.9123555220411","11.1572848710467","15.053119601056","10.886387116463","9.67215800696772","8.5474606898396","8.03305166710882","8.82101245941791","11.5509822430736","9.54478032298821","19.5120529683529","15.9006649337443","15.4707784620174","10.6733534289947","8.66054645758035","7.48333702611751","7.341870071423","10.9111025301918","7.33177814253036","6.79863194540194","",
"Bahrain","BHR","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1646430594326","5.18853635244264","4.94752907574112","2.47222659934324","2.41409296735245","2.36355393253508","2.65515448233729","2.94780069689933","2.64679818418508","2.41837107939379","2.56219946526365","3.27872387888953","7.85232489870862","6.69423484706372","7.54838781980151","8.03308867942449","11.7273256224155","7.2063979522799","7.46609124402679","6.30960536456164","4.93973178217343","3.26683550273991","6.34992143923997","4.11568690264489","6.50763045685446","4.90957088870327","",
